,Method,K,fraction,frac. shared neighbors,Mark,Dataset,binsize,feature_selection
209,TFIDF-NMF,1204,0.1,0.3105466142416896,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_75
211,NMF,12,0.001,0.0046842134396103,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_75
212,TFIDF-NMF,12,0.001,0.0185223624487988,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_75
214,NMF,36,0.003,0.0110197793276504,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_75
215,TFIDF-NMF,36,0.003,0.0418234990221041,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_75
217,NMF,60,0.005,0.0166417579984501,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_75
218,TFIDF-NMF,60,0.005,0.0608712498616185,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_75
220,NMF,120,0.01,0.0289521753570242,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_75
221,TFIDF-NMF,120,0.01,0.0984169157533488,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_75
223,NMF,361,0.03,0.0650677432976592,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_75
224,TFIDF-NMF,361,0.03,0.1884484498666477,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_75
226,NMF,602,0.05,0.0934152294300742,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_75
227,TFIDF-NMF,602,0.05,0.2453094191728888,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_75
229,NMF,1204,0.1,0.1501037585332187,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_75
230,TFIDF-NMF,1204,0.1,0.3200878340878572,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_75
232,NMF,12,0.001,0.008918687036422,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_75
233,TFIDF-NMF,12,0.001,0.0195048710284512,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_75
235,NMF,36,0.003,0.0202682755821248,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_75
236,TFIDF-NMF,36,0.003,0.0437400826598767,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_75
238,NMF,60,0.005,0.0293520978633897,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_75
239,TFIDF-NMF,60,0.005,0.0632278866378833,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_75
241,NMF,120,0.01,0.0477838204361784,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_75
242,TFIDF-NMF,120,0.01,0.1006337872246208,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_75
244,NMF,361,0.03,0.0978802562349869,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_75
245,TFIDF-NMF,361,0.03,0.1880155956322662,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_75
247,NMF,602,0.05,0.1344601908175008,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_75
248,TFIDF-NMF,602,0.05,0.2378824708074822,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_75
250,NMF,1204,0.1,0.1997113849440203,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_75
251,TFIDF-NMF,1204,0.1,0.3064401320297337,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_75
253,NMF,12,0.001,0.0104201262039189,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_75
254,TFIDF-NMF,12,0.001,0.0181487324255507,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_75
256,NMF,36,0.003,0.0232158013210819,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_75
257,TFIDF-NMF,36,0.003,0.0400683604561053,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_75
259,NMF,60,0.005,0.0338591829956824,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_75
260,TFIDF-NMF,60,0.005,0.0574366212775379,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_75
262,NMF,120,0.01,0.0547160411823314,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_75
263,TFIDF-NMF,120,0.01,0.0923267463744049,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_75
265,NMF,361,0.03,0.1065826503190977,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_75
266,TFIDF-NMF,361,0.03,0.1738774539523133,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_75
268,NMF,602,0.05,0.1430583706917382,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_75
269,TFIDF-NMF,602,0.05,0.2194586074758002,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_75
271,NMF,1204,0.1,0.2066165753256884,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_75
272,TFIDF-NMF,1204,0.1,0.2859864053288551,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_75
274,NMF,12,0.001,0.0095621609653492,H3K9me3,PairedTag_Zhu_2021,200,filtered_q_75
275,TFIDF-NMF,12,0.001,0.0180034318609542,H3K9me3,PairedTag_Zhu_2021,200,filtered_q_75
277,NMF,36,0.003,0.0209901656887708,H3K9me3,PairedTag_Zhu_2021,200,filtered_q_75
278,TFIDF-NMF,36,0.003,0.0403474297944573,H3K9me3,PairedTag_Zhu_2021,200,filtered_q_75
280,NMF,60,0.005,0.030063378722462,H3K9me3,PairedTag_Zhu_2021,200,filtered_q_75
