,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,silhouette
136,SnapATAC,H3K4me1,PairedTag_Zhu_2021,20,raw,0.5002699308162167,0.2505595062907502,0.5151176944395529,0.2632417068990468,-0.0108290518548063
137,cisTopic,H3K4me1,PairedTag_Zhu_2021,20,raw,0.5213768302825817,0.2579550748498387,0.5237251526976886,0.2784904879361214,-0.0235042172653315
138,PeakVI,H3K4me1,PairedTag_Zhu_2021,20,raw,0.5675575507511387,0.3695529357081145,0.557289317666586,0.3482044956195652,0.0266516209136588
139,SCALE,H3K4me1,PairedTag_Zhu_2021,20,raw,0.4670341482608907,0.2511190947743246,0.4532432706741792,0.2509924739795967,-0.0164241975423756
140,Chromscape_LSI,H3K4me1,PairedTag_Zhu_2021,100,raw,0.5397436347669698,0.3008452065038124,0.5618052725367635,0.3561008572854401,0.0497228481221115
141,Chromscape_PCA,H3K4me1,PairedTag_Zhu_2021,100,raw,0.5533169356893406,0.331918013738453,0.5645142185537638,0.3843798590809466,0.0412743777457415
142,Signac,H3K4me1,PairedTag_Zhu_2021,100,raw,0.6337147391883419,0.4448132098920466,0.6650579338800822,0.4457943769442713,-0.0508187429122231
143,SnapATAC,H3K4me1,PairedTag_Zhu_2021,100,raw,0.4877352159279688,0.2472994043080047,0.4844162755074818,0.2453608108440074,-0.0182481221091754
144,cisTopic,H3K4me1,PairedTag_Zhu_2021,100,raw,0.5294603845936852,0.2676603820495278,0.5307771535658251,0.2882675997493925,-0.0079379841017023
145,PeakVI,H3K4me1,PairedTag_Zhu_2021,100,raw,0.6417060833704841,0.4668302452439384,0.6350756166571024,0.4701091204891481,0.0949763913035148
146,SCALE,H3K4me1,PairedTag_Zhu_2021,100,raw,0.5467432818941308,0.335789643096913,0.544900339238771,0.3162268400187135,0.0464977528861171
147,Chromscape_LSI,H3K4me1,PairedTag_Zhu_2021,300,raw,0.5527439354289477,0.3289800121018594,0.5730509079164661,0.3895808405959275,0.0592071090214726
148,Chromscape_PCA,H3K4me1,PairedTag_Zhu_2021,300,raw,0.5545094415137405,0.3351736107523442,0.5436978292036276,0.3561345630981218,0.0476012385948693
149,Signac,H3K4me1,PairedTag_Zhu_2021,300,raw,0.6896149136306545,0.4569227492339059,0.6447209217891686,0.4168742815494449,0.0218814063716094
150,SnapATAC,H3K4me1,PairedTag_Zhu_2021,300,raw,0.4812075330297466,0.2439614602513847,0.4668414483914072,0.2277717747830069,-0.0171431352786213
151,cisTopic,H3K4me1,PairedTag_Zhu_2021,300,raw,0.5482546583498643,0.3177883020889963,0.5346688425972392,0.305265778260758,0.016716559737248
152,PeakVI,H3K4me1,PairedTag_Zhu_2021,300,raw,0.5600835698156807,0.3502536120475359,0.5557892721916683,0.3403416685341616,0.033958607909328
153,SCALE,H3K4me1,PairedTag_Zhu_2021,300,raw,0.4614505175645788,0.2518614718269841,0.4678419777669005,0.2466243172188038,0.0014352656450682
154,Chromscape_LSI,H3K4me1,PairedTag_Zhu_2021,200,raw,0.5540241863714002,0.328751454674977,0.5747016863410981,0.3846313020116357,0.056347007366984
155,Chromscape_PCA,H3K4me1,PairedTag_Zhu_2021,200,raw,0.560104663864589,0.3379841099546423,0.5488259385143969,0.3405899678166533,0.0448230858104502
156,Signac,H3K4me1,PairedTag_Zhu_2021,200,raw,0.6695106699335963,0.3953070973419412,0.6474749415536601,0.432698413262804,-0.0036645632772267
157,SnapATAC,H3K4me1,PairedTag_Zhu_2021,200,raw,0.4868555025401657,0.2465133195106799,0.4863935215369719,0.2328143569590053,-0.0171658727595541
158,cisTopic,H3K4me1,PairedTag_Zhu_2021,200,raw,0.5274386203178476,0.2987823153842385,0.5309194062767868,0.3103082141722905,0.0001932567505801
159,PeakVI,H3K4me1,PairedTag_Zhu_2021,200,raw,0.615274676750742,0.4316373518576036,0.6061381333887403,0.4320500597436422,0.0680220890456873
160,SCALE,H3K4me1,PairedTag_Zhu_2021,200,raw,0.4795302669636859,0.2646084146752182,0.4967650424368018,0.2645139970021614,0.0170392932060191
161,PeakVI,H3K4me1,PairedTag_Zhu_2021,30,raw,0.5976484404738308,0.4145815245845428,0.5968457654338851,0.4148595925727835,0.0511333509548875
162,SCALE,H3K4me1,PairedTag_Zhu_2021,30,raw,0.5091206815183152,0.2835129439144012,0.5115464833396586,0.3102592754577234,0.026986333749031
163,Chromscape_LSI,H3K27me3,PairedTag_Zhu_2021,500,raw,0.4039540412796158,0.1916678677067564,0.4237968231141024,0.2067050149739404,-0.0306319987634231
164,Chromscape_PCA,H3K27me3,PairedTag_Zhu_2021,500,raw,0.2829818268578213,0.152741440991237,0.2569884896930278,0.1419975121467369,-0.0581678872490862
165,Signac,H3K27me3,PairedTag_Zhu_2021,500,raw,0.4399098835943787,0.2087886300672567,0.3381324297746344,0.0739678407347405,-0.0778157802776568
166,SnapATAC,H3K27me3,PairedTag_Zhu_2021,500,raw,0.3245173836598662,0.1198704283960695,0.3259885364890279,0.1140251457783064,-0.0615662172272327
167,cisTopic,H3K27me3,PairedTag_Zhu_2021,500,raw,0.2898201774012919,0.1103836635726222,0.2773793883598271,0.1062037703630138,-0.0507463355411391
168,PeakVI,H3K27me3,PairedTag_Zhu_2021,500,raw,0.2139834817522333,0.0960209049118575,0.1895101096813685,0.084784766322362,-0.0609322419282609
169,SCALE,H3K27me3,PairedTag_Zhu_2021,500,raw,0.295735234826688,0.1318126647470453,0.2778028573087812,0.1288319793122012,-0.0371730725045423
170,Chromscape_LSI,H3K27me3,PairedTag_Zhu_2021,1000,raw,0.4147076753569433,0.1975006423503019,0.3917419502337567,0.210679588397446,-0.0198624158940458
171,Chromscape_PCA,H3K27me3,PairedTag_Zhu_2021,1000,raw,0.2364118715148895,0.135217913338503,0.2153702483663945,0.1141477950029487,-0.0570996532106933
172,Signac,H3K27me3,PairedTag_Zhu_2021,1000,raw,0.3960538931533224,0.2198517029667646,0.2897574036794396,0.0837470110379462,-0.0431021330361478
173,SnapATAC,H3K27me3,PairedTag_Zhu_2021,1000,raw,0.2970898637229394,0.1150388994856802,0.2905265768926447,0.097389365464742,-0.0586580662829351
174,cisTopic,H3K27me3,PairedTag_Zhu_2021,1000,raw,0.2467176062245474,0.095298997679055,0.221485229775759,0.0787212608980523,-0.0471684647068152
175,PeakVI,H3K27me3,PairedTag_Zhu_2021,1000,raw,0.2223510190724414,0.0968721793091792,0.1968441956889198,0.080717399237443,-0.0764285944994739
176,SCALE,H3K27me3,PairedTag_Zhu_2021,1000,raw,0.2472375271176244,0.0987529018924293,0.2439540652939162,0.0958424447326396,-0.0732086244458376
177,Chromscape_LSI,H3K27me3,PairedTag_Zhu_2021,50,raw,0.3152334235745894,0.1228766501896114,0.3171926673486548,0.1229682197850752,-0.129645540609286
178,Chromscape_PCA,H3K27me3,PairedTag_Zhu_2021,50,raw,0.1130687936384593,0.0516117956325342,0.0719964325952974,0.0397279806976982,-0.1379574522708042
179,Signac,H3K27me3,PairedTag_Zhu_2021,50,raw,0.0022326441590497,-0.002462591012848,-0.0010045341009715,-0.0003903874710744,-0.1715258434736954
180,SnapATAC,H3K27me3,PairedTag_Zhu_2021,50,raw,0.3324634178259898,0.127766077231248,0.3374306980786072,0.1444087060413633,-0.0511721694344373
181,cisTopic,H3K27me3,PairedTag_Zhu_2021,50,raw,0.3247662992117596,0.1291618812843306,0.3066468785847864,0.1241298548988608,-0.0332698053242238
182,PeakVI,H3K27me3,PairedTag_Zhu_2021,50,raw,0.2066145720169145,0.0925012902537691,0.1704715880415218,0.0753526492977908,-0.0344278968887683
183,SCALE,H3K27me3,PairedTag_Zhu_2021,50,raw,0.3548357597154496,0.1704531181966706,0.3424973311060285,0.1517451388969407,-0.0132887696949667
184,Chromscape_LSI,H3K27me3,PairedTag_Zhu_2021,20,raw,0.2007809070549363,0.0496723515729354,0.1615441868750401,0.0221680123608364,-0.1860139036274198
185,Chromscape_PCA,H3K27me3,PairedTag_Zhu_2021,20,raw,0.0976765147538644,0.0451301871284408,0.0836403836943126,0.0367670597678385,-0.1721278937480802
186,Signac,H3K27me3,PairedTag_Zhu_2021,20,raw,-0.0005706595394343,-0.0001998238349993,-0.0010163826722068,-0.0003955262620592,-0.2447340000508792
187,SnapATAC,H3K27me3,PairedTag_Zhu_2021,20,raw,0.2791695669525222,0.1120717251481473,0.2950284653016934,0.1171172847532161,-0.0503980879512372
188,cisTopic,H3K27me3,PairedTag_Zhu_2021,20,raw,0.3278805800824462,0.1391321530430619,0.3155507933801063,0.1267837597160376,-0.0256510304086969
189,PeakVI,H3K27me3,PairedTag_Zhu_2021,20,raw,0.0573021951194018,0.0177717800855769,0.0443471355479152,0.0179654756469734,-0.0525319534257999
190,SCALE,H3K27me3,PairedTag_Zhu_2021,20,raw,0.33156470047416,0.143859735004165,0.3072778532204278,0.1214533321508446,-0.0276291647179884
191,Chromscape_LSI,H3K27me3,PairedTag_Zhu_2021,100,raw,0.3471601749486845,0.1439668087204418,0.3717209005253597,0.1612287312255551,-0.0857743806959174
192,Chromscape_PCA,H3K27me3,PairedTag_Zhu_2021,100,raw,0.2224594089267293,0.1221348023858422,0.1812227855792556,0.0784630044524719,-0.1051907452932625
193,Signac,H3K27me3,PairedTag_Zhu_2021,100,raw,0.180963546308468,0.0389738979013014,0.1792467727584187,0.0393858780020787,-0.1423190147693721
194,SnapATAC,H3K27me3,PairedTag_Zhu_2021,100,raw,0.3356067594633729,0.1362064279802388,0.351377760111098,0.1431794459181952,-0.0612946931686798
195,cisTopic,H3K27me3,PairedTag_Zhu_2021,100,raw,0.3623216855424011,0.1551143474440181,0.3498718079965063,0.1532171806131586,-0.0207275865372941
196,PeakVI,H3K27me3,PairedTag_Zhu_2021,100,raw,0.2597210921180949,0.1297982750033764,0.2240823776123539,0.1135449986374546,-0.0373656099083414
197,SCALE,H3K27me3,PairedTag_Zhu_2021,100,raw,0.3573846594351548,0.176979887183913,0.332801406537717,0.1406462014079981,-0.0086027567163747
198,Chromscape_LSI,H3K27me3,PairedTag_Zhu_2021,300,raw,0.3843350983276747,0.1731539693224224,0.3985521319086299,0.183404730258071,-0.0457758715498081
199,Chromscape_PCA,H3K27me3,PairedTag_Zhu_2021,300,raw,0.2637817631988456,0.136293568251815,0.2520459400995806,0.1361595965508244,-0.0723873277340082
