,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,silhouette
168,Chromscape_LSI,H3K27ac,scCutTagPro_Zhang_2021,100,raw,0.2979652379811978,0.2396830199392571,0.3767018856949544,0.2764148723876289,-0.0346565129653979
169,Chromscape_PCA,H3K27ac,scCutTagPro_Zhang_2021,100,raw,0.0443406499675166,0.0611010441444991,0.0601345172820254,0.0797295334875857,-0.0727869980032816
170,Signac,H3K27ac,scCutTagPro_Zhang_2021,100,raw,0.3687728058335465,0.3169582357993681,0.0480939026686758,-0.0182566002752085,-0.0751115042135787
171,cisTopic,H3K27ac,scCutTagPro_Zhang_2021,100,raw,0.3068246800775235,0.2332218021379335,0.2963568803540035,0.2092787663181621,0.0127024553386993
172,NMF,H3K27ac,scCutTagPro_Zhang_2021,100,raw,0.106209344745012,-0.0176591836644663,0.1804471942366858,0.0427050201796943,-0.1322327991892268
173,TFIDF-NMF,H3K27ac,scCutTagPro_Zhang_2021,100,raw,0.3649095569418857,0.3001169005965442,0.331810243890447,0.2742855675718654,-0.0179798984801215
174,Chromscape_LSI,H3K27ac,scCutTagPro_Zhang_2021,300,raw,0.3229340697290599,0.2242177526606557,0.3498310942131304,0.2798404721460544,-0.0315909675053568
175,Chromscape_PCA,H3K27ac,scCutTagPro_Zhang_2021,300,raw,0.0755552975184565,0.0942146336857027,0.0573423169717037,0.1031288176004053,-0.0622356512558553
176,Signac,H3K27ac,scCutTagPro_Zhang_2021,300,raw,0.3065419566170912,0.1714989460755291,0.1287759564035423,0.0065984972497689,-0.0387489062823189
177,cisTopic,H3K27ac,scCutTagPro_Zhang_2021,300,raw,0.3182908170597235,0.2480824949291455,0.2918599979788313,0.225320891482633,0.0038480092611382
