,Method,K,fraction,frac. shared neighbors,Mark,Dataset,binsize,feature_selection
141,Chromscape_PCA,830,0.1,0.1450759686143417,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
142,Signac,830,0.1,0.042470750052232,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
143,SnapATAC,830,0.1,0.1007702776423613,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
144,cisTopic,830,0.1,0.2063270422731388,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
145,NMF,830,0.1,0.0429945214383545,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
146,TFIDF-NMF,830,0.1,0.0431203136244399,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
147,Chromscape_LSI,8,0.001,0.0039589354527938,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
148,Chromscape_PCA,8,0.001,0.0022579479768786,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
149,Signac,8,0.001,0.0023332129094412,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
150,SnapATAC,8,0.001,0.0042298892100192,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
151,cisTopic,8,0.001,0.0035826107899807,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
152,NMF,8,0.001,0.0039438824662813,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
153,TFIDF-NMF,8,0.001,0.0043804190751445,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
154,Chromscape_LSI,25,0.003,0.011931599229287,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
155,Chromscape_PCA,25,0.003,0.0064354527938342,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
156,Signac,25,0.003,0.006257225433526,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
157,SnapATAC,25,0.003,0.0121917148362235,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
158,cisTopic,25,0.003,0.0092822736030828,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
159,NMF,25,0.003,0.0111464354527938,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
160,TFIDF-NMF,25,0.003,0.0126348747591522,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
161,Chromscape_LSI,42,0.005,0.0184133865492247,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
162,Chromscape_PCA,42,0.005,0.0104912147903477,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
163,Signac,42,0.005,0.0099091659785301,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
164,SnapATAC,42,0.005,0.0188176667584182,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
165,cisTopic,42,0.005,0.014743325075695,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
166,NMF,42,0.005,0.0170399807321772,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
167,TFIDF-NMF,42,0.005,0.0196147582347004,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
168,Chromscape_LSI,83,0.01,0.0330962578638252,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
169,Chromscape_PCA,83,0.01,0.0192083362351138,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
170,Signac,83,0.01,0.018221730854052,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
171,SnapATAC,83,0.01,0.0335112124799777,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
172,cisTopic,83,0.01,0.0274697054112403,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
173,NMF,83,0.01,0.0304396777862896,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
174,TFIDF-NMF,83,0.01,0.0345544025814239,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
175,Chromscape_LSI,249,0.03,0.0810046544559741,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
176,Chromscape_PCA,249,0.03,0.049958020908296,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
